#date	category	vendor	description	amount	transaction type	account name	from	to	group	action
@date	category	vendor	description	amount	transaction type	account name	from	to	group	action
Mon 12.05	Home Supplies	USPS	DDA PURCHASE *970175027198 USPS PO 3 734 WASHINGT HOBOKEN * NJ	23	debit	TD CONVENIENCE CHECKING	jn	"jn,gd"	xmas	
Mon 12.05	Home Supplies	USPS	DDA PURCHASE *970175027198 USPS PO 3 734 WASHINGT HOBOKEN * NJ	13.8	debit	TD CONVENIENCE CHECKING	jn	"jn,gd"	xmas	
Wed 12.07	Alcohol & Bars	Hells Kitchen	SMITHS HELLS KITCHEN NEW YORK NY	8	debit	Citi Double Cash	jn	jn		
Wed 12.07	Public Transportation	Pathtvm Hoboken City	PATHTVM*HOBOKEN CITY /	11.1	debit	Visa Signature	jn	jn		
Wed 12.07	Public Transportation	Pathtvm Hoboken City	PATHTVM*HOBOKEN CITY /	8.9	debit	Visa Signature	jn	gd	xmas	
Wed 12.07	Shopping	TJ Maxx	TJMAXX #0133	41.17	debit	Visa Signature	jn	"jn,gd"	xmas	
Wed 12.07	Gift	TJ Maxx	TJMAXX #0133	11	debit	Visa Signature	jn	"jn,gd"	xmas	
Thu 12.08	Gift	Old Navy	OLD NAVY ON-LINE	39	debit	Visa Signature	jn	"jn,gd"	xmas	
Thu 12.08	Public Transportation	Njt Pabt	CHECKCARD 1207 NJT PABT 0924 NEWARK NJ 24164076342487000515641	28	debit	BofA Core Checking	jn	jn		
Fri 12.09	Lunch	Burger King	BURGER KING #12871 Q07 NEW YORK NY	5.44	debit	Citi Double Cash	jn	jn		
#12/9/2016	Paycheck	Thomson Reuters Des	THOMSON REUTERS DES:DIR DEP ID:XXXXX98005108 INDN:JOHN NAZARETH CO...	3987.42	credit	BofA Core Checking				
Fri 12.09	Gift	Best Buy	BestBuyCom794022013756	52.4	debit	Visa Signature	jn	"jn,gd"	xmas	
Fri 12.09	Groceries	Shop Rite	DDA PURCHASE *97010001 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	8.77	debit	TD CONVENIENCE CHECKING	jn	jn		
Sat 12.10	Furnishings	IKEA	IKEA ELIZABETH ELIZABETH NJ	570.52	debit	Citi Double Cash	jn	jn	ikea	"jn (*:self), gd (*:self), ikea (*:group)"
Sat 12.10	Gift	IKEA	IKEA ELIZABETH ELIZABETH NJ	5	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Sat 12.10	Shopping	IKEA	IKEA ELIZABETH ELIZABETH NJ	3	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Sat 12.10	Furnishings	IKEA	IKEA ELIZABETH ELIZABETH NJ	63.13	debit	Citi Double Cash	jn	jn	ikea	
Sat 12.10	Shopping	Macy's	MACY*S .COM #0129	29.95	debit	Visa Signature	jn	"jn,gd"	xmas	
Sun 12.11	Groceries	Aldi	ALDI 60026 NORTH BERGEN NJ	31.29	debit	Citi Double Cash	jn	jn		
Sun 12.11	Groceries	Aldi	ALDI 60026 NORTH BERGEN NJ	49	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Mon 12.12	Alcohol & Bars	Tir Na Nog	TIR NA NOG 39TH ST NEW YORK NY	37.66	debit	Citi Double Cash	jn	jn		
Mon 12.12	Public Transportation	Njt Pabt	NJT PABT 0920	17.5	debit	Visa Signature	jn	jn		
Mon 12.12	Alcohol & Bars	Tir Na Nog	Tir Na Nog	9	debit	Cash	jn	jn		
Tue 12.13	Parking	Newport Centre W	NEWPORT CENTRE W GARAG JERSEY CITY NJ	2	debit	Citi Double Cash	jn	gd	xmas	
Tue 12.13	Shopping	TJ Maxx	TJMAXX #0133	10.88	debit	Visa Signature	jn	"jn,gd"	xmas	
Tue 12.13	Gift	Wal-Mart	WALMART.COM 800-966-6546 AR	63.39	debit	Citi Double Cash	jn	"jn,gd"	punit	"jn (*:self), gd (*:self), punit (*:group)"
Tue 12.13	Gift	Bath & Body Works	BATH & BODY WORKS 0537 JERSEY CITY NJ	26.39	debit	Citi Double Cash	jn	gd	xmas	
Tue 12.13	Coffee Shops	Starbucks	STARBUCKS STORE 08769 NEW YORK NY	3.76	debit	Citi Double Cash	jn	"jn,gd"		
Tue 12.13	Public Transportation	Njt Pabt	NJT PABT 0924 NEWARK NJ	14	debit	Citi Double Cash	jn	jn		
Tue 12.13	Gift	Target	TARGET 00018861 JERSEY CITY NJ	20	debit	Citi Double Cash	jn	gd	xmas	
#12/14/2016	Credit Card Payment	Credit Card Payment	Citibank Credit Card Bill Payment	1330.33	debit	BofA Core Checking				
Wed 12.14	Public Transportation	Njt Pabt	NJT PABT 0924 NEWARK NJ	14	debit	Citi Double Cash	jn	jn		
Wed 12.14	Gift	Wal-Mart	WALMART.COM 800-966-6546 AR	63	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Wed 12.14	Gift	Wal-Mart	WALMART.COM 800-966-6546 AR	8.11	debit	Citi Double Cash	jn	jn		
Wed 12.14	Hair	Supercuts	SUPERCUTS HOBOKEN NJ	21.95	debit	Citi Double Cash	jn	jn		
#12/14/2016	Credit Card Payment	Thank You	PAYMENT - THANK YOU	1330.33	credit	Citi Double Cash				
Thu 12.15	Groceries	Shop Rite	DDA PURCHASE *97010002 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	7.99	debit	TD CONVENIENCE CHECKING	jn	jn		
Fri 12.16	Mobile Phone	Us Mobile Ct	US MOBILE 8888781488 CT	4	debit	Citi Double Cash	jn	gd		
Fri 12.16	Public Transportation	MTA	MTA MVM*N063A-42 STQPS NEW YORK NY	9	debit	Citi Double Cash	jn	jn		
Fri 12.16	Public Transportation	MTA	MTA MVM*N063A-42 STQPS NEW YORK NY	11	debit	Citi Double Cash	jn	"jn,gd"	punit	
Fri 12.16	Restaurants	Laguardia Figs Cafe	LAGUARDIA/FIGS CAFE RE FLUSHING NY	24.46	debit	Citi Double Cash	jn	"jn,gd"	punit	
Fri 12.16	Alcohol & Bars	Laguardia Figs Cafe	LAGUARDIA/FIGS CAFE RE FLUSHING NY	10.48	debit	Citi Double Cash	jn	jn	punit	
Fri 12.16	Groceries	Shop Rite	DDA PURCHASE *97010003 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	4.26	debit	TD CONVENIENCE CHECKING	jn	jn		
Fri 12.16	Charity	Hoboken Shelter	PAYPAL DES:TRANSFER ID:57ZJ29YC5YAZG INDN:JOHN NAZARETH CO ID:PAYPALSD22 WEB	30	debit	BofA Core Checking	jn	jn		
Sun 12.18	Entertainment	Georgia Aquarium	GEORGAAQUARIUM19142793 ATLANTA GA	19.44	debit	Citi Double Cash	jn	"jn,gd"	punit	
Sun 12.18	Entertainment	Sky View Atlanta	SKY VIEW ATLANTA ATLANTA GA	30	debit	Citi Double Cash	jn	"jn,gd"	punit	
Sun 12.18	Restaurants	Panera Bread	PANERA BREAD #3791 SMYRNA GA	14.59	debit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Restaurants	Meehans Public House	Meehans Public House D ATLANTA GA	58	debit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Restaurants	Smoke Ring	Smoke Ring ATLANTA GA	116.22	debit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Entertainment	The Center for Civil and Human Rights	NATL CTR CIV HUMAN RHT ATLANTA GA	-17.28	credit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Entertainment	The Center for Civil and Human Rights	NATL CTR CIV HUMAN RHT ATLANTA GA	51.84	debit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Entertainment	The Center for Civil and Human Rights	NATL CTR CIV HUMAN RHT ATLANTA GA	-17.28	credit	Citi Double Cash	jn	"jn,gd"	punit	
Mon 12.19	Rental Car & Taxi	Uber.com	VISA DDA PUR449215 UBER US DEC18 DXA4K HELP UBER COM * CA	16.15	debit	TD CONVENIENCE CHECKING	jn	"jn,gd"	punit	
Mon 12.19	Gym	Planet Fit Des	PLANET FIT DES:CLUB FEES ID:XXXXX05108932 INDN:JOHN NAZARETH CO...	10.7	debit	BofA Core Checking	jn	jn		
Mon 12.19	Gym	Planet Fit Des	PLANET FIT DES:CLUB FEES ID:XXXXX05153064 INDN:JOHN NAZARETH CO...	10.7	debit	BofA Core Checking	jn	gd		
Tue 12.20	Restaurants	Kabab King Diner	KABAB KING DINER JACKSON HEIGH NY	21.23	debit	Citi Double Cash	jn	"jn,gd"		
Tue 12.20	Public Transportation	MTA	MTA MVM*LGA01-LGA AIR C	10	debit	Visa Signature	jn	jn		
Tue 12.20	Public Transportation	Njt Pabt	NJT PABT 0920 NEWARK NJ	3.5	debit	Citi Double Cash	jn	gd	punit	
Tue 12.20	Groceries	Patel Brothers	DDA PURCHASE *9701316035 PATEL BROTHERS JACKSON HEIGH * NY	41.37	debit	TD CONVENIENCE CHECKING	jn	jn		
Tue 12.20	Groceries	Patel Brothers	DDA PURCHASE *9701316035 PATEL BROTHERS JACKSON HEIGH * NY	24	debit	TD CONVENIENCE CHECKING	jn	"jn,gd"	xmas	
Wed 12.21	Shopping	Wal-Mart	WM SUPERCENTER #3520 SECAUCUS NJ	6.21	debit	Citi Double Cash	jn	jn		
Wed 12.21	Shopping	Wal-Mart	WM SUPERCENTER #3520 SECAUCUS NJ	7	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Wed 12.21	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	5.58	debit	Citi Double Cash	jn	jn		
Wed 12.21	Alcohol & Bars	Jersey City Buyrite LLC	JERSEY CITY BUYRITE LL JERSEY CITY NJ	37.54	debit	Citi Double Cash	jn	jn		
Wed 12.21	Alcohol & Bars	Jersey City Buyrite LLC	JERSEY CITY BUYRITE LL JERSEY CITY NJ	63	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Wed 12.21	Groceries	Sam's Club	SAMSCLUB #4774 SECAUCUS NJ	48.15	debit	Citi Double Cash	jn	jn		
Wed 12.21	Groceries	Fish Market	555 FISH MARKET JERSEY CITY NJ	10.5	debit	Citi Double Cash	jn	jn		
Wed 12.21	Groceries	Fish Market	555 FISH MARKET JERSEY CITY NJ	26	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Wed 12.21	Home Improvement	99c	99c store	4	debit	Cash	jn	"jn,gd"	xmas	
Wed 12.21	Groceries	Sam's Club	SAMSCLUB #4774 SECAUCUS NJ	47.85	debit	Citi Double Cash	jn	jn		
Wed 12.21	Groceries	Sam's Club	SAMSCLUB #4774 SECAUCUS NJ	19.14	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Thu 12.22	Home Improvement	Home Depot	THE HOME DEPOT #6845 JERSEY CITY NJ	10.33	debit	Citi Double Cash	jn	jn	ikea	
Thu 12.22	Home Improvement	Home Depot	THE HOME DEPOT #6845 JERSEY CITY NJ	10.33	debit	Citi Double Cash	jn	jn	ikea	
Fri 12.23	Mobile Phone	Us Mobile Ct	US MOBILE 8888781488 CT	9.08	debit	Citi Double Cash	jn	gd		
Fri 12.23	Restaurants	Ben & Jerry's	BEN & JERRY'S HOBOKEN NJ	4	debit	Citi Double Cash	jn	"jn,gd"		
Fri 12.23	Home Improvement	Wal-Mart	WM SUPERCENTER #3520 SECAUCUS NJ	8.03	debit	Citi Double Cash	jn	"jn,gd"	ikea	
Fri 12.23	Home Improvement	Wal-Mart	WM SUPERCENTER #3520 SECAUCUS NJ	1.47	debit	Citi Double Cash	jn	jn		
Fri 12.23	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	4.78	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Fri 12.23	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	8.93	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Fri 12.23	Shopping	Target	TARGET 00018861 JERSEY CITY NJ	5.88	debit	Citi Double Cash	jn	"jn,gd"	xmas	
#12/23/2016	Paycheck	Thomson Reuters Des	THOMSON REUTERS DES:DIR DEP ID:XXXXX38005108 INDN:JOHN NAZARETH CO...	3903.04	credit	BofA Core Checking				
Fri 12.23	Auto Insurance	Geico	GEICO *AUTO MACON DC	371.7	debit	Citi Double Cash	jn	jn		
Sun 12.25	Public Transportation	Lirrnytickets Qps Jamaica	LIRRNYTICKETS QPS JAMAICA NY	33	debit	Citi Double Cash	jn	"jn,gd"	xmas	
Mon 12.26	Public Transportation	Njt Pabt	NJT PABT 0921	14	debit	Visa Signature	jn	"jn,gd"	xmas	
Mon 12.26	Public Transportation	Njt Pabt	NJT PABT 0973 NEWARK NJ	3.5	debit	Citi Double Cash	jn	jn	punit	
Tue 12.27	Doctor	City MD	CITY MD NEW YORK NY	180	debit	Citi Double Cash	jn	jn	US filing	"jn (*:self), gd (*:self), US filing (*:group)"
#12/27/2016	Credit Card Payment	Transfer to Visa Signature	Capital One Credit Cards Bill Payment	848.94	debit	BofA Core Checking				
#12/27/2016	Credit Card Payment	Transfer from BofA Core Checking	ELECTRONIC PAYMENT	848.94	credit	Visa Signature				
Tue 12.27	Gift	Kohl's	WWW.KOHLS.COM #0873 866-887-8884 OH	54.04	debit	Citi Double Cash	jn	"jn,gd"	punit	
Tue 12.27	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	5.58	debit	Citi Double Cash	jn	jn		
Wed 12.28	Public Transportation	Njt Pabt Nj	NJT PABT 0909 NEW YORK NJ	7	debit	Citi Double Cash	jn	"jn,gd"		
Wed 12.28	Public Transportation	Njt Pabt Nj	NJT PABT 0909 NEW YORK NJ	3.5	debit	Citi Double Cash	jn	gd	punit	
Wed 12.28	Service & Parts	BMW of Bloomfield	BMW OF BLOOMFIELD BLOOMFIELD NJ	3129.39	debit	Citi Double Cash	jn	jn	bmw	"jn (*:self), gd (*:self), bmw (*:group)"
"Tue, Dec 13, 2016"	Restaurants	halal brothers	chicken & rice	14	cash	cash	jn	"jn,gd"		
"Wed, Dec 28, 2016"	Restaurants	food cart	pretzel + chestnuts	10	cash	cash	jn	gd		
